Day,Flowrate,Riverheight,Entry number 
27.82291667,22.2,0.713,271
27.83333333,21.9,0.709,272
27.84375,21.9,0.709,273
27.85416667,21.7,0.706,274
27.86458333,21.6,0.704,275
27.875,21.7,0.706,276
27.88541667,21.3,0.701,277
27.89583333,21.2,0.699,278
27.90625,21.2,0.699,279
27.91666667,20.9,0.695,280
27.92708333,20.7,0.693,281
27.9375,20.4,0.689,282
27.94791667,19.8,0.68,283
27.95833333,20.1,0.684,284
27.96875,19.5,0.676,285
27.97916667,19.8,0.68,286
27.98958333,19.8,0.68,287
28,19.6,0.678,288
28.01041667,18.2,0.658,289
28.02083333,17.5,0.649,290
28.03125,17.7,0.651,291
28.04166667,17.5,0.649,292
28.05208333,17.5,0.649,293
28.0625,17.5,0.648,294
28.07291667,17.3,0.646,295
28.08333333,17.3,0.646,296
28.09375,17.2,0.644,297
28.10416667,17,0.642,298
28.11458333,17.2,0.644,299
28.125,17,0.641,300
28.13541667,16.8,0.639,301
28.14583333,16.8,0.638,302
28.15625,16.8,0.639,303
28.16666667,16.6,0.636,304
28.17708333,16.5,0.635,305
28.1875,16.6,0.636,306
28.19791667,16.6,0.636,307
28.20833333,16.4,0.633,308
28.21875,16.4,0.633,309
28.22916667,16.3,0.632,310
28.23958333,16.3,0.631,311
28.25,16.3,0.631,312
28.26041667,16.2,0.63,313
28.27083333,16.1,0.628,314
28.28125,16,0.627,315
28.29166667,15.8,0.624,316
28.30208333,15.7,0.623,317
28.3125,15.6,0.622,318
28.32291667,15.7,0.623,319
28.33333333,15.6,0.621,320
28.34375,15.6,0.621,321
28.35416667,15.4,0.619,322
28.36458333,15.5,0.62,323
28.375,15.4,0.618,324
28.38541667,15.2,0.615,325
28.39583333,14.8,0.61,326
28.40625,14.2,0.6,327
28.41666667,14.1,0.599,328
28.42708333,14,0.598,329
28.4375,13.8,0.595,330
28.44791667,14,0.598,331
28.45833333,14,0.598,332
28.46875,14,0.598,333
28.47916667,14.2,0.601,334
28.48958333,14,0.597,335
28.5,14,0.598,336
28.51041667,13.9,0.596,337
28.52083333,13.7,0.593,338
28.53125,13.8,0.594,339
28.54166667,13.6,0.591,340
28.55208333,13.7,0.593,341
28.5625,13.5,0.59,342
28.57291667,13.7,0.593,343
28.58333333,13.2,0.586,344
28.59375,13.4,0.589,345
28.60416667,13.4,0.589,346
28.61458333,13.1,0.584,347
28.625,13,0.582,348
28.63541667,13.2,0.585,349
28.64583333,13,0.583,350
28.65625,12.8,0.58,351
28.66666667,13,0.582,352
28.67708333,12.8,0.579,353
28.6875,12.8,0.58,354
28.69791667,12.8,0.58,355
28.70833333,12.8,0.579,356
28.71875,12.8,0.579,357
28.72916667,12.8,0.579,358
28.73958333,12.7,0.578,359
28.75,12.6,0.577,360
28.76041667,12.4,0.574,361
28.77083333,12.4,0.574,362
28.78125,12.4,0.573,363
28.79166667,12.5,0.575,364
28.80208333,12.5,0.575,365
28.8125,12.3,0.572,366
28.82291667,12.2,0.57,367
28.83333333,12.3,0.572,368
28.84375,12.1,0.569,369
28.85416667,12.2,0.57,370
28.86458333,12.2,0.57,371
28.875,12.2,0.571,372
28.88541667,12.2,0.571,373
28.89583333,12.2,0.57,374
28.90625,12.2,0.57,375
28.91666667,12.2,0.57,376
28.92708333,12.2,0.57,377
28.9375,12.1,0.568,378
28.94791667,12.1,0.568,379
28.95833333,11.9,0.566,380
28.96875,11.9,0.565,381
28.97916667,11.8,0.564,382
28.98958333,11.9,0.566,383
29,12,0.567,384
